Sequence Number,Main Plant Group,Family Name (English),Family (Scientific),Genus Name (English),Genus (Scientific),English Plant Name,English Alias,Scientific Name,Author,Distribution,Habitat,Life Form,Height,Morphology,Halophyte Type,Ecological Type,Maximum Salinity,Salinity Data Source,Photosynthetic Pathway,Uses,Literature Sources
1045,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola rosacea,,Salsola rosacea,L.,"Distributed in Xinjiang; Mongolia, Russia and Central Asia also found.","Occurs in Gobi gravel desert, gravel slopes or containing salt textured desert.",Annual herb,Plant height 15–40 cm,"Plant glabrous, gray-green, with white strips striations; perianth in fruit diameter is 8–10 mm, tepals in fruit abaxial surface all borne wings, in wings above parts abaxial side with green succulent keel-shaped projections, apex obtuse, tight appressed fruit, not forming erect round cone. Flowering period July–August, in fruit September–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1046,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola chinghaiensis,,Salsola chinghaiensis,A.J.Li,Distributed in Qinghai.,Occurs in containing saline soil grassland.,Annual herb,Plant height 40–50 cm,"Plant densely covered short stiff hairs; leaves half cylindrical, base conspicuous expanded spreading, apex with stiff spiny-shaped pointed; perianth in fruit diameter 10–12 mm, wings margin with not regular teeth, tepals in wings above parts hard, clustered forming coarse robust long round cone. Flowering period July–August, fruiting period August–September.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,"Forage, ecological use","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1047,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola praecox,,Salsola praecox,(Litv.) Litv.,"Distributed in Xinjiang; Central Asia, Southwest Asia and South Asia also found.",Occurs in sand dunes or sandy land.,Annual herb,Plant height 5–25 cm,"Plant slender weak; leaf blade filiform half cylindrical; perianth in fruit diameter 6–8 mm, wings wings margin nearly entire, tepals in wings above parts apex with slender and long and hard spiny-shaped pointed, toward center clustered forming slender and long round cone. Flowering period April–May; fruiting period May–June.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use",Supplemented based on flora records
1048,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola paulsenii,,Salsola paulsenii,Litv.,"Distributed in Xinjiang; North Asia, Central Asia and Europe also found.",Occurs in gravelly Gobi gravel desert or containing salt divided sandy land.,Annual herb,Plant height 20–60 cm,"Stem pale red brown, dense covered with short stiff hairs; perianth in fruit diameter 6–8 mm, wings nearly entire, tepals in wings above parts apex with stiff spiny-shaped pointed, toward center clustered forming slender and long round cone. Flowering period July–August, fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,"Forage, ecological use","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1049,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola pellucida,,Salsola pellucida,Litv.,Distributed in western part; Central Asia and Southwest Asia also found.,"Occurs in sandy land, Gobi gravel desert, dry mountain gullies or river floodplains.",Annual herb,Plant height 20–60 cm,"Stem green, densely covered short stiff hairs; perianth in fruit diameter 7–12 mm, tepals in wings above parts apex with slightly hard spiny-shaped pointed or is membranous slender and long pointed, clustered forming slender and long round cone. Flowering period July–August, fruiting period August–September.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use",Supplemented based on field surveys
1050,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola sinkiangensis,,Salsola sinkiangensis,A.J.Li,Distributed in Gansu and Xinjiang.,"Occurs in sandy land, sand gravelly desert or river-valley terraces.",Annual herb,Plant height 15–30 cm,"Stem densely covered with stiff hairs; leaves filiform half cylindrical, wide 0.5–0.8 mm; anthers oblong, long about 0.5 mm; perianth in fruit diameter 5–6 mm, abaxial surface borne wings, tepals in wings above parts apex not is spiny appressed, not clustered forming long round cone. Flowering period July–August, fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use",Supplemented based on field surveys
1051,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola ikonnikovii,,Salsola ikonnikovii,Iljin,Distributed in Inner Mongolia; Mongolia also found.,Occurs in sand dunes and sandy land.,Annual herb,Plant height 30–40 cm,"Leaf blade wide 1–2 mm; bract and bracteole in fruit toward lower reflexed, anthers long about 1 mm, stigma and style nearly etc. Long; perianth in fruit diameter 7–10 mm, abaxial surface borne wings, tepals in wings above parts hard, clustered forming short round cone. Flowering period July–August, fruiting period August–September.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use",Supplemented based on flora records
1052,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola jacquemontii,,Salsola jacquemontii,Moq.,Distributed in Tibet; Nepal also found.,"Occurs in sand gravel wasteland, floodplains or dry slopes.",Annual herb,Plant height 20–40 cm,"Plant densely covered with long stiff hairs; bract and bracteole in fruit spreading, not toward lower reflexed, anthers long about 0.8 mm, stigma long is style 3–4 times; perianth in fruit diameter about 5 mm, tepals in wings above parts apex membranous, acute, clustered forming round cone. Flowering period July–August; fruiting period August–September.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use",Supplemented based on field surveys
1053,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola tragus,,Salsola tragus,L.,"Distributed in Northeast China, North China, Northwest China and East China; Eurasia widely distributed.","Occurs in sand dunes, sandy land, dry river valleys or seashore.",Annual herb,Plant height 10–100 cm,"Plant covered with short stiff hairs or nearly glabrous; inflorescence spike-shaped, borne on branches upper part; perianth in fruit diameter 7–10 mm, tepals in wings above parts nearly leathery, apex is thin membranous, toward center clustered, enclosing covering fruit. Flowering period August–September, fruiting period September–October.",Euhalophyte (dilution halophyte),Mesophytic; psammophytic,400 mM (33.8 dS/m),Salinity tolerance value from database,C4,"Forage, oil and fat, ecological use","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1054,III. Angiosperms,Amaranthaceae,Amaranthaceae,Salsola,Salsola,Salsola intramongolica,,Salsola intramongolica,H.C.Fu & Z.Y.Chu,Distributed in Inner Mongolia.,Occurs in desert steppe or salt becoming sandy land.,Annual herb,Plant height 10–15 cm,"Leaves cylindrical; bract and bracteole in fruit not toward lower reflexed, stigma filiform, long is style 3–4 times; perianth in fruit diameter 4–5 mm, wings entire surface leathery, red, 3 large wings is irregular three angles-shaped obovate, tepals in wings above parts clustered forming round conical-shaped. Flowering and fruiting period August–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1055,III. Angiosperms,Amaranthaceae,Amaranthaceae,Oreosalsola,Oreosalsola,Oreosalsola abrotanoides,,Oreosalsola abrotanoides,(Bunge) Akhani,"Distributed in Inner Mongolia, Gansu, Qinghai and Xinjiang; Mongolia also found.","Occurs in dry slopes, foothills proluvial fans or mostly gravel river floodplains.","Deciduous subshrub, chamaephyte",Plant height 15–40 cm,"Plant glabrous; leaves often clustered short branches apex, base expanded spreading, in expanded spreading places upper part yi contracted forming stalk-shaped; inflorescence spike-shaped, bracteole than perianth short; perianth in fruit diameter 5–7 mm, tepals in wings above parts tight appressed fruit, not forming round cone. Flowering period July–August, fruiting period August–September.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use",Supplemented based on field surveys
1056,III. Angiosperms,Amaranthaceae,Amaranthaceae,Oreosalsola,Oreosalsola,Oreosalsola pachyphylla,,Oreosalsola pachyphylla,(Botsch.) Sennikov,Distributed in Xinjiang; Kyrgyzstan also found.,Occurs in dry slopes or gravelly desert.,"Deciduous subshrub, chamaephyte",Plant height 20–40 cm,"Annual branches green; leaves upper part nearly clavate, lower part flattened and wide, not yi contracted, decurrent straight reaching lower part lin nearly leaves, non- succulent; perianth in fruit diameter about 10 mm, abaxial surface borne wings, tepals in wings above parts clustered forming round cone. Flowering and fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use",Supplemented based on flora records
1057,III. Angiosperms,Amaranthaceae,Amaranthaceae,Turania,Turania,Turania aperta,,Turania aperta,(Paulsen) Akhani,Distributed in Xinjiang; Russia and Central Asia also found.,Occurs in sand dunes or sandy land.,Annual herb,Plant height 10–30 cm,"Plant glabrous; leaf blade wide linear, wide 5–10 mm; anthers from base free to nearly apex; perianth in fruit diameter is 5–8 mm, wings 3 large, 2 very short small, tepals in fruit in wings above parts toward outer reflexed, not enclosing covering fruit. Flowering period June–July, fruiting period July–August.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,"Forage, ecological use",Supplemented based on flora records
1058,III. Angiosperms,Amaranthaceae,Amaranthaceae,Xylosalsola,Xylosalsola,Xylosalsola arbuscula,,Xylosalsola arbuscula,(Pall.) Tzvelev,"Distributed in Northwest China; North Asia, West Asia, Southwest Asia and Europe also found.",Occurs in foothills or gravelly desert.,"Deciduous subshrub, chamaephyte",Plant height 40–100 cm,"Plant glabrous; leaves half cylindrical, base expanded spreading, expanded spreading places upper part yi contracted forming stalk-shaped; bracteole ovate, than perianth long or and perianth etc. Long; perianth in fruit diameter 8–12 mm, tepals in wings above parts upper part membranous, slightly reflexed, forming lotus base-shaped. Flowering period July–August, fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic,230 mM (22.4 dS/m),Salinity tolerance value from database,C4,"Forage, ecological use","eHALOPH; Chinese Halophytes, 2nd edition"
1059,III. Angiosperms,Amaranthaceae,Amaranthaceae,Xylosalsola,Xylosalsola,Xylosalsola arbusculiformis,,Xylosalsola arbusculiformis,(Drobow) comb.ined.,Distributed in Xinjiang; Central Asia also found.,Occurs in dry slopes or gravelly Gobi gravel desert.,"Deciduous subshrub, chamaephyte",Plant height 40–100 cm,"Branchlets milky white; bract base not decurrent, bracteole than perianth short, apex roundeded-obtuse, margin membranous; anthers attached genus structure apex obtuse; perianth in fruit diameter 8–14 mm, tepals in wings above parts toward center clustered forming round cone. Flowering period August–September, fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C3-C4,"Forage, ecological use",Supplemented based on field surveys
1060,III. Angiosperms,Amaranthaceae,Amaranthaceae,Xylosalsola,Xylosalsola,Xylosalsola junatovii,,Xylosalsola junatovii,(Botschantz.) comb.ined.,Distributed in Xinjiang.,Occurs in dry slopes or gravelly desert.,"Deciduous subshrub, chamaephyte",Plant height 20–50 cm,"Stem much-branched; old branches on leaves alternate, half round column-shaped; inflorescence spike-shaped, again consisting of several spike gou forming round conical-shaped inflorescence. Flowering period August–September, fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C3-C4,"Forage, ecological use",Supplemented based on field surveys
1061,III. Angiosperms,Amaranthaceae,Amaranthaceae,Xylosalsola,Xylosalsola,Xylosalsola laricifolia,,Xylosalsola laricifolia,(Turcz. ex Litv.) comb.ined.,Distributed in Xinjiang; Mongolia and Central Asia also found.,"Occurs in dry slopes, sand dunes, gravelly desert and dry valley floors.","Deciduous subshrub, chamaephyte",Plant height 40–90 cm,"Bract leaves-shaped, base decurrent, bracteole than perianth short, apex herbaceous, acute, two lateral margin membranous; anthers attached genus structure apex acute pointed; perianth in fruit diameter 8–9 mm, tepals in wings above parts toward center clustered forming rounded-obtuse cone. Flowering period June–August, fruiting period August–September.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C3-C4,"Forage, ecological use",Supplemented based on field surveys
1062,III. Angiosperms,Amaranthaceae,Amaranthaceae,Halothamnus,Halothamnus,Halothamnus glaucus,,Halothamnus glaucus,(M.Bieb.) Botsch.,Distributed in Xinjiang; Central Asia and Southwest Asia also found.,Occurs in steppe or half desert.,"Deciduous subshrub, chamaephyte",Plant height 30–50 cm,"Plant with smooth glabrous powdery green young branches leaves; leaf blade half round column-shaped; perianth in fruit diameter 1.5–2 cm, wings membranous, with round teeth, tepals in fruit in wings below parts enlarged large, base expanded spreading forming flat tan surface, with 5 strips fang she-shaped ribs. Flowering and fruiting period June–August.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,Supplemented based on flora records
1063,III. Angiosperms,Amaranthaceae,Amaranthaceae,Halothamnus,Halothamnus,Halothamnus heptapotamicus,,Halothamnus heptapotamicus,Botsch.,Distributed in Xinjiang; Central Asia also found.,"Occurs in desert gravel plains, proluvial fans margin.","Deciduous subshrub, chamaephyte",Plant height 80–100 cm,Plant with smooth glabrous green branches leaves; leaf blade half round column-shaped. Flowering and fruiting period June–August.,Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",,C4,Ecological use,Supplemented based on flora records
1064,III. Angiosperms,Amaranthaceae,Amaranthaceae,Soda,Soda,Soda foliosa,,Soda foliosa,(L.) Akhani,"Distributed in Xinjiang; North Asia, Central Asia, Southwest Asia and Europe also found.",Occurs in Gobi gravel desert tidal wetland or moist saline-alkaline flats.,Annual herb,Plant height 20–60 cm,"Stem branches nearly succulent, smooth glabrous, gray-green; leaves clavate, apex roundeded-obtuse and slightly swollen large, succulent; perianth in fruit diameter 5–7 mm, wings small, tepals in wings above parts membranous, not enclosing covering fruit, style inconspicuous, stigma very short; fruit is berry-shaped. Flowering period August–September, fruiting period September–October.",Euhalophyte (dilution halophyte),Hygrophytic or mesophytic; psammophytic,"Unknown, 400 mM (estimated value)",0,C4,"Forage, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1065,III. Angiosperms,Amaranthaceae,Amaranthaceae,Soda,Soda,Soda inermis,,Soda inermis,Fourr.,"Distributed in Xinjiang; Central Asia, Southwest Asia, Southern Europe and North Africa also found.",Occurs in salt-lake shores or zhong saline-alkaline flats.,Annual herb,Plant height 20–70 cm,"Stem branches glabrous, without strips striations; stem lower part leaves opposite, upper part is alternate, leaves half cylindrical, apex with small mucronate; tepals in fruit becoming stiff, from abaxial surface in upper part transversely borne three angles-shaped projections; utricle diameter 3–4 mm. Flowering period July–August, fruiting period August–September.",Euhalophyte (dilution halophyte),Hygrophytic or mesophytic; psammophytic,378 mM (24200 mg/L),0,C4,"Edible, ecological use","Handbook of Halophytes 16, 23, 497; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1066,III. Angiosperms,Amaranthaceae,Amaranthaceae,Iljinia,Iljinia,Iljinia regelii,,Iljinia regelii,(Bunge) Korovin ex Iljin,Distributed in Gansu and Xinjiang; Mongolia and Kazakhstan also found.,"Occurs in gravel Gobi gravel desert, proluvial fans, sand dunes or dry slopes.","Deciduous subshrub, hemicryptophyte",Plant height 20–50 cm,"Plant glabrous, gray-green; leaves alternate, nearly club-shaped-shaped, succulent, base not expanded spreading; flowers solitary leaf axils; perianth subglobose, wings-shaped attached genus structure developing from tepals nearly apex. Flowering and fruiting period July–September.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 400 mM (estimated value)",0,C4,"Forage, ecological use","Chinese Halophytes, 2nd edition"
1067,III. Angiosperms,Amaranthaceae,Amaranthaceae,Haloxylon,Haloxylon,Haloxylon ammodendron,,Haloxylon ammodendron,(C.A.Mey.) Bunge ex Fenzl,Distributed in Northwest China; Mongolia and Central Asia also found.,"Occurs in sand dunes, saline-alkaline soil desert or riversides sandy land.","Shrub or small tree, phanerophyte",Plant height 1–9 m,"Branched opposite, with joint; leaves opposite, scale-like, wide triangular, slightly spreading, apex without awn pointed; flower attached borne on biennial branches lateral short branches on, tepals membranous, in fruit with well developed wings-shaped attached genus structure; utricle at maturity apex surface emarginate, seeds transversely borne. Flowering period May–July, fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,600 mM,Salinity tolerance value from database,C4,"Forage, ecological use, windbreak and sand stabilization, soil and water conservation","eHALOPH; Chinese Halophytes, 2nd edition"
1068,III. Angiosperms,Amaranthaceae,Amaranthaceae,Haloxylon,Haloxylon,Haloxylon persicum,,Haloxylon persicum,Bunge,Distributed in Xinjiang; Asia south-central part - Southwest China part and Africa Northeast China part also found.,Occurs in sand dunes.,"Shrub or small tree, phanerophyte",Plant height 1–7 m,"Leaves triangular, prostrate on branches, apex with awn pointed. Flowering period May–June, fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,300 dS/m,Salinity tolerance value from database,C4,"Forage, ecological use, windbreak and sand stabilization, soil and water conservation",eHALOPH
1069,III. Angiosperms,Amaranthaceae,Amaranthaceae,Cornulaca,Cornulaca,Cornulaca alaschanica,,Cornulaca alaschanica,C.P.Tsien & G.L.Chu,Distributed in Inner Mongolia and Gansu.,Occurs in flowing sand margin or sand dunes among proluvial layers.,Annual herb,Plant height 15–20 cm,"Plant pyramidal shape; leaves needle-like spiny-shaped, long 5–8 mm; bracteole boat-shaped-shaped, axil inner with bundles borne villous; perianth connate forming tube, apex with 5 membranous teeth, perianth distant axis one lateral with 1 spiny-shaped attached genus structure, in fruit spiny appressed attached genus structure and perianth united forming one body; seeds erect. Flowering and fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,Supplemented based on flora records
1070,III. Angiosperms,Amaranthaceae,Amaranthaceae,Horaninovia,Horaninovia,Horaninovia ulicina,,Horaninovia ulicina,Fisch. & C.A.Mey.,Distributed in Xinjiang; Central Asia and West Asia also found.,Occurs in sand dunes.,Annual herb,Plant height 20–40 cm,"Branches without joint; leaves and bract opposite, needle-like spiny-shaped, long 5–10 mm, straight or slightly curved; bracteole spiny-shaped; anthers apex without attached genus structure; 5 tepals, membranous, in fruit wings below parts slightly enlarged thick, wings above parts inner curved, enclosing covering fruit; seeds transversely borne. Flowering and fruiting period July–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Ecological use,eHALOPH
1071,III. Angiosperms,Amaranthaceae,Amaranthaceae,Horaninovia,Horaninovia,Horaninovia minor,,Horaninovia minor,Schrenk,Distributed in Xinjiang; Central Asia also found.,Occurs in sand dunes.,Annual herb,Plant height 5–25 cm,Leaves and bract arcuate-shaped curved; anthers apex with 1 linear attached genus structure. Flowering and fruiting period July–August.,Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition"
1072,III. Angiosperms,Amaranthaceae,Amaranthaceae,Arthrophytum,Arthrophytum,Arthrophytum longibracteatum,,Arthrophytum longibracteatum,Korovin,Distributed in Xinjiang; Kazakhstan also found.,Occurs in dry slopes.,"Deciduous cushion-forming subshrub, hemicryptophyte",Plant height 8–12 cm,"Branches opposite, with joint, when year branches with 2–4 internodes; leaves opposite, linear, half round column-shaped, with papillae; flower borne in current-year branches strips on, perianth subglobose, slightly succulent, with not well developed wings-shaped attached genus structure, disc disc-shaped; utricle half globose, seeds transversely borne. Flowering and fruiting period August–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1073,III. Angiosperms,Amaranthaceae,Amaranthaceae,Arthrophytum,Arthrophytum,Arthrophytum korovinii,,Arthrophytum korovinii,Botsch.,Distributed in Xinjiang; Kazakhstan also found.,Occurs in riverbanks terraces.,"Deciduous cushion-forming subshrub, hemicryptophyte",Plant height 10–20 cm,"When year branches with 3–4 internodes; leaves club-shaped-shaped, smooth; disc cup-shaped. Flowering and fruiting period August–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on flora records
1074,III. Angiosperms,Amaranthaceae,Amaranthaceae,Arthrophytum,Arthrophytum,Arthrophytum iliense,,Arthrophytum iliense,Iljin,Distributed in Xinjiang; Kazakhstan also found.,Occurs in dry slopes.,"Deciduous subshrub, hemicryptophyte",Plant height 10–30 cm,"Plant non- cushion-forming; when year branches with 10–20 internodes; leaves awl-shaped-shaped, long 2–4 mm; disc cup-shaped, membranous. Flowering period July–August, fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on flora records
1075,III. Angiosperms,Amaranthaceae,Amaranthaceae,Halogeton,Halogeton,Halogeton glomeratus,,Halogeton glomeratus,(M.Bieb.) Ledeb.,"Distributed in Gansu, Qinghai, Xinjiang and Tibet; North Asia and Central Asia also found.","Occurs in salinized and alkalized foothills, sand gravel ground or Gobi gravel desert.",Annual herb,Plant height 5–30 cm,"Branches alternate, without arachnoid hairs; leaves alternate, cylindrical, apex with long spiny hairs, base expanded spreading; flower 4–6 flowers clustered leaf axils, perianth round conical-shaped, wings-shaped attached genus structure developing from tepals nearly apex, stamens 2; seeds erect. Flowering and fruiting period July–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,400 mM,Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition"
1076,III. Angiosperms,Amaranthaceae,Amaranthaceae,Halogeton,Halogeton,Halogeton glomeratus var. tibeticus,,Halogeton glomeratus var. tibeticus,(Bunge) Grubov,"Distributed in Qinghai, Xinjiang and Tibet; Central Asia also found.",Occurs in salinized and alkalized dry slopes.,Annual herb,Plant height 5–30 cm,Stem branches borne papillae-shaped small projections. Flowering and fruiting period July–October.,Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 400 mM (estimated value)",0,C4,Ecological use,Supplemented based on field surveys
1077,III. Angiosperms,Amaranthaceae,Amaranthaceae,Halogeton,Halogeton,Halogeton arachnoideus,,Halogeton arachnoideus,(Bunge) Moq.,Distributed in North China and Northwest China; Central Asia also found.,"Occurs in salinized and alkalized dry slopes, sandy land or river floodplains.",Annual herb,Plant height 10–40 cm,"Plant young when covered with arachnoid hairs; leaves cylindrical, apex obtuse, sometimes with small mucronate; flower 2–3 flowers clustered leaf axils, stamens 5; seeds transversely borne. Flowering and fruiting period July–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 400 mM (estimated value)",0,C4,Ecological use; peng gray use on used for surface strips,"Chinese Halophytes, 2nd edition"
1078,III. Angiosperms,Amaranthaceae,Amaranthaceae,Halogeton,Halogeton,Halogeton densiflorus,,Halogeton densiflorus,(Z.B.Wen & G.L.Chu) comb.ined.,Distributed in Xinjiang.,"Occurs in salinized and alkalized dry slopes, sandy land or river floodplains.",Annual herb,Plant height 20–30 cm,"Plant much-branched, dense clustered, branchlets yellow-brown; leaves half cylindrical, apex obtuse; flower several flowers clustered leaf axils, tepals in wings above parts membranous, wings margin with not regular eroded shi-shaped teeth; seeds transversely borne. Flowering and fruiting period August–October.",Euhalophyte (dilution halophyte),Xerophytic; psammophytic,"Unknown, 400 mM (estimated value)",0,C4,Ecological use,Supplemented based on field surveys
1079,III. Angiosperms,Amaranthaceae,Amaranthaceae,Girgensohnia,Girgensohnia,Girgensohnia oppositiflora,,Girgensohnia oppositiflora,(Pall.) Fenzl,"Distributed in Xinjiang; Central Asia, Southwest Asia, South Asia and Europe also found.","Occurs in Gobi gravel desert, desert or dry slopes.",Annual herb,Plant height 15–40 cm,"Branches opposite, with joint, with short coarse stiff hairs; leaves opposite, long 5–10 mm, apex acute pointed; bracteole boat-shaped-shaped, outer whorls 3 tepals abaxial side with pendulous wings-shaped attached genus structure, anthers apex with slender pointed-shaped attached genus structure; seeds erect. Flowering and fruiting period July–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 400 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition"
1080,III. Angiosperms,Amaranthaceae,Amaranthaceae,Anabasis,Anabasis,Anabasis elatior,,Anabasis elatior,(C.A.Mey.) Schischk.,"Distributed in Xinjiang; Mongolia, Kazakhstan and Russia also found.","Occurs in Gobi gravel desert, saline soil desert or dry slopes.","Deciduous subshrub, hemicryptophyte",Plant height 15–30 cm,"Woody stem much-branched, when year branches with 10–20 internodes; leaves usually is awl-shaped-shaped, appressed on branches or slightly spreading, apex with short spiny-shaped pointed; tepals in fruit abaxial surface with well developed transverse wings, disc lobes linear, apex pectinate dentate, anthers without attached genus structure; seeds erect. Flowering and fruiting period July–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1081,III. Angiosperms,Amaranthaceae,Amaranthaceae,Anabasis,Anabasis,Anabasis brevifolia,,Anabasis brevifolia,C.A.Mey.,"Distributed in Northwest China; Mongolia, Russia and Central Asia also found.","Occurs in Gobi gravel desert, alluvial fans or dry slopes.","Deciduous subshrub, hemicryptophyte",Plant height 5–20 cm,"When year branches usually with 4–8 internodes; leaves linear, half round column-shaped or nearly club-shaped-shaped, spreading; wings-shaped attached genus structure xing yellow or purplish red, disc lobes half orbicular, entire. Flowering period July–August, fruiting period September–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition front matter"
1082,III. Angiosperms,Amaranthaceae,Amaranthaceae,Anabasis,Anabasis,Anabasis aphylla,,Anabasis aphylla,L.,"Distributed in Gansu and Xinjiang; North Asia, Central Asia and Europe also found.","Occurs in mountain front of gravel proluvial fans, Gobi gravel desert or sand dunes.","Deciduous subshrub, hemicryptophyte",Plant height 20–50 cm,"Leaves inconspicuous or slightly appearing scale-like, wide triangular, apex without spiny-shaped pointed; tepals in fruit winged-shaped attached genus structure; utricle erect, subglobose, dark red. Flowering period August–September, fruiting period October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 400 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition"
1083,III. Angiosperms,Amaranthaceae,Amaranthaceae,Anabasis,Anabasis,Anabasis salsa,,Anabasis salsa,(Ledeb.) Benth. ex Volkens,"Distributed in Xinjiang; North Asia, Central Asia and Southwest Asia also found.","Occurs in Gobi gravel desert, lakeshores terraces or saline-alkaline desert.","Deciduous subshrub, hemicryptophyte",Plant height 10–20 cm,"Woody stem broken, when year branches numerous from base tufted; leaves linear, half round column-shaped, long 2–5 mm, spreading, apex with short spiny-shaped pointed; tepals in fruit not winged-shaped attached genus structure; utricle broadly ovate, apex exposed on perianth outer. Flowering and fruiting period August–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 500 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Forage,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
